TransactionAmount,TransactionDuration,AccountBalance,CustomerAge,TransactionType,Channel,Cluster
14.09,81.0,5112.21,70.0,Debit,ATM,2
376.24,141.0,13758.91,68.0,Debit,ATM,2
126.29,56.0,1122.35,19.0,Debit,Online,3
184.5,25.000000000000004,8569.06,26.0,Debit,Online,3
13.45,198.0,7429.4,26.0,Credit,Online,3
92.15,172.0,781.68,18.0,Debit,ATM,2
7.08,139.0,13316.71,37.0,Credit,ATM,2
171.42,291.0,2796.24,67.0,Credit,Branch,1
106.23,86.0,9095.14,51.0,Credit,Branch,1
815.96,120.0,1021.8800000000001,55.0,Debit,ATM,2
17.78,59.00000000000001,7599.5199999999995,52.0,Credit,Online,3
190.02,173.0,1528.81,21.0,Debit,Online,3
494.52,111.0,1620.02,24.0,Credit,Branch,1
781.76,123.0,189.69,26.0,Debit,ATM,2
166.99,134.0,299.93,18.0,Debit,Online,3
465.45,129.0,3465.54,36.0,Debit,ATM,2
555.8,158.0,1131.26,19.0,Credit,Branch,1
492.93,234.0,5109.97,39.0,Debit,Online,3
18.68,106.0,7948.369999999999,59.0,Credit,Branch,1
71.48,169.0,6568.59,18.0,Credit,Online,3
59.32,37.99999999999999,5750.89,71.0,Debit,Branch,1
85.77,93.0,9146.19,38.0,Debit,Branch,1
52.2,120.0,8974.93,39.0,Debit,Online,3
345.84,142.0,1402.5,22.0,Debit,Online,3
145.54,96.0,1930.96,21.0,Debit,Online,3
7.49,276.0,3634.67,65.0,Credit,Online,3
246.93,158.0,673.3499999999999,23.0,Debit,ATM,2
40.32,95.0,2686.52,37.0,Debit,Branch,1
127.45,197.0,1772.06,44.0,Debit,Online,3
56.17,283.0,1351.69,27.0,Debit,Branch,1
28.31,20.0,8334.47,59.0,Credit,Online,3
59.12,257.0,9823.64,29.0,Debit,ATM,2
396.45,168.00000000000003,9690.15,49.0,Debit,ATM,2
877.81,150.0,399.0,22.0,Debit,Online,3
255.26,50.00000000000001,14815.87,45.0,Credit,Branch,1
124.76,45.0,5764.72,49.0,Debit,Branch,1
78.13,145.0,900.61,26.0,Debit,Branch,1
649.28,137.0,4875.86,75.0,Debit,ATM,2
795.31,90.0,7914.879999999999,66.0,Debit,ATM,2
335.63,215.99999999999997,1019.39,55.0,Debit,Online,3
328.47,119.0,4323.66,63.0,Debit,ATM,2
34.02,18.999999999999996,14214.48,38.0,Debit,Online,3
241.42000000000002,116.00000000000001,13357.02,57.0,Credit,Online,3
55.32,117.0,241.79000000000002,19.0,Debit,ATM,2
304.31,33.0,868.61,27.0,Debit,Branch,1
435.27,90.0,4673.28,74.0,Debit,Branch,1
164.49,75.0,1509.27,26.0,Debit,Branch,1
510.23999999999995,105.0,781.7,19.0,Debit,Online,3
